iteracion,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
0,1.3892384,408.10892,151.3631,100,0.1,55.0,3,100,62,0.004
1,1.3892384,408.10892,151.3631,100,0.1,55.0,3,200,62,0.004
2,0.63132954,312.586,152.5244,100,0.1,55.0,3,300,243,0.026
3,0.63132954,312.586,152.5244,100,0.1,55.0,3,400,243,0.026
4,0.45448017,303.43454,155.17606,100,0.1,55.0,3,500,412,0.065
5,0.45448017,303.43454,155.17606,100,0.1,55.0,3,600,412,0.065
6,0.45448017,303.43454,155.17606,100,0.1,55.0,3,700,412,0.065
7,0.45448017,303.43454,155.17606,100,0.1,55.0,3,800,412,0.065
8,0.25710773,308.94183,155.22734,100,0.1,55.0,3,900,855,0.129
9,0.25710773,308.94183,155.22734,100,0.1,55.0,3,1000,855,0.129
10,0.25710773,308.94183,155.22734,100,0.1,55.0,3,1100,855,0.129
11,0.0654335,305.35675,153.72687,100,0.1,55.0,3,1200,1118,0.18
12,0.0654335,305.35675,153.72687,100,0.1,55.0,3,1300,1118,0.18
13,0.0654335,305.35675,153.72687,100,0.1,55.0,3,1400,1118,0.18
14,0.0654335,305.35675,153.72687,100,0.1,55.0,3,1500,1118,0.18
15,0.040005684,308.62036,153.75674,100,0.1,55.0,3,1600,1528,0.247
16,0.0023670197,306.98856,153.7418,100,0.1,55.0,3,1700,1643,0.264
17,0.0023670197,306.98856,153.7418,100,0.1,55.0,3,1800,1643,0.264
18,0.0023670197,306.98856,153.7418,100,0.1,55.0,3,1900,1643,0.264
19,0.0023670197,306.98856,153.7418,100,0.1,55.0,3,2000,1643,0.264
20,0.0023670197,306.98856,153.7418,100,0.1,55.0,3,2100,1643,0.264
21,0.0023670197,306.98856,153.7418,100,0.1,55.0,3,2200,1643,0.264
22,0.0023670197,306.98856,153.7418,100,0.1,55.0,3,2300,1643,0.264
23,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,2400,2377,0.38
24,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,2500,2377,0.38
25,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,2600,2377,0.38
26,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,2700,2377,0.38
27,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,2800,2377,0.38
28,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,2900,2377,0.38
29,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,3000,2377,0.38
30,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,3100,2377,0.38
31,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,3200,2377,0.38
32,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,3300,2377,0.38
33,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,3400,2377,0.38
34,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,3500,2377,0.38
35,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,3600,2377,0.38
36,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,3700,2377,0.38
37,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,3800,2377,0.38
38,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,3900,2377,0.38
39,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,4000,2377,0.38
40,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,4100,2377,0.38
41,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,4200,2377,0.38
42,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,4300,2377,0.38
43,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,4400,2377,0.38
44,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,4500,2377,0.38
45,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,4600,2377,0.38
46,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,4700,2377,0.38
47,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,4800,2377,0.38
48,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,4900,2377,0.38
49,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,5000,2377,0.38
50,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,5100,2377,0.38
51,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,5200,2377,0.38
52,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,5300,2377,0.38
53,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,5400,2377,0.38
54,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,5500,2377,0.38
55,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,5600,2377,0.38
56,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,5700,2377,0.38
57,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,5800,2377,0.38
58,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,5900,2377,0.38
59,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,6000,2377,0.38
60,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,6100,2377,0.38
61,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,6200,2377,0.38
62,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,6300,2377,0.38
63,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,6400,2377,0.38
64,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,6500,2377,0.38
65,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,6600,2377,0.38
66,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,6700,2377,0.38
67,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,6800,2377,0.38
68,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,6900,2377,0.38
69,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,7000,2377,0.38
70,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,7100,2377,0.38
71,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,7200,2377,0.38
72,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,7300,2377,0.38
73,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,7400,2377,0.38
74,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,7500,2377,0.38
75,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,7600,2377,0.38
76,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,7700,2377,0.38
77,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,7800,2377,0.38
78,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,7900,2377,0.38
79,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,8000,2377,0.38
80,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,8100,2377,0.38
81,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,8200,2377,0.38
82,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,8300,2377,0.38
83,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,8400,2377,0.38
84,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,8500,2377,0.38
85,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,8600,2377,0.38
86,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,8700,2377,0.38
87,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,8800,2377,0.38
88,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,8900,2377,0.38
89,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,9000,2377,0.38
90,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,9100,2377,0.38
91,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,9200,2377,0.38
92,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,9300,2377,0.38
93,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,9400,2377,0.38
94,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,9500,2377,0.38
95,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,9600,2377,0.38
96,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,9700,2377,0.38
97,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,9800,2377,0.38
98,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,9900,2377,0.38
99,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,10000,2377,0.38
100,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,10100,2377,0.38
101,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,10200,2377,0.38
102,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,10300,2377,0.38
103,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,10400,2377,0.38
104,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,10500,2377,0.38
105,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,10600,2377,0.38
106,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,10700,2377,0.38
107,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,10800,2377,0.38
108,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,10900,2377,0.38
109,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,11000,2377,0.38
110,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,11100,2377,0.38
111,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,11200,2377,0.38
112,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,11300,2377,0.38
113,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,11400,2377,0.38
114,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,11500,2377,0.38
115,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,11600,2377,0.38
116,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,11700,2377,0.38
117,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,11800,2377,0.38
118,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,11900,2377,0.38
119,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,12000,2377,0.38
120,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,12100,2377,0.38
121,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,12200,2377,0.38
122,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,12300,2377,0.38
123,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,12400,2377,0.38
124,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,12500,2377,0.38
125,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,12600,2377,0.38
126,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,12700,2377,0.38
127,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,12800,2377,0.38
128,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,12900,2377,0.38
129,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,13000,2377,0.38
130,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,13100,2377,0.38
131,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,13200,2377,0.38
132,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,13300,2377,0.38
133,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,13400,2377,0.38
134,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,13500,2377,0.38
135,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,13600,2377,0.38
136,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,13700,2377,0.38
137,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,13800,2377,0.38
138,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,13900,2377,0.38
139,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,14000,2377,0.38
140,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,14100,2377,0.38
141,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,14200,2377,0.38
142,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,14300,2377,0.38
143,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,14400,2377,0.38
144,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,14500,2377,0.38
145,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,14600,2377,0.38
146,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,14700,2377,0.38
147,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,14800,2377,0.38
148,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,14900,2377,0.38
149,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,15000,2377,0.38
150,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,15100,2377,0.38
151,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,15200,2377,0.38
152,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,15300,2377,0.38
153,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,15400,2377,0.38
154,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,15500,2377,0.38
155,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,15600,2377,0.38
156,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,15700,2377,0.38
157,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,15800,2377,0.38
158,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,15900,2377,0.38
159,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,16000,2377,0.38
160,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,16100,2377,0.38
161,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,16200,2377,0.38
162,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,16300,2377,0.38
163,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,16400,2377,0.38
164,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,16500,2377,0.38
165,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,16600,2377,0.38
166,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,16700,2377,0.38
167,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,16800,2377,0.38
168,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,16900,2377,0.38
169,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,17000,2377,0.38
170,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,17100,2377,0.38
171,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,17200,2377,0.38
172,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,17300,2377,0.38
173,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,17400,2377,0.38
174,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,17500,2377,0.38
175,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,17600,2377,0.38
176,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,17700,2377,0.38
177,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,17800,2377,0.38
178,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,17900,2377,0.38
179,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,18000,2377,0.38
180,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,18100,2377,0.38
181,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,18200,2377,0.38
182,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,18300,2377,0.38
183,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,18400,2377,0.38
184,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,18500,2377,0.38
185,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,18600,2377,0.38
186,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,18700,2377,0.38
187,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,18800,2377,0.38
188,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,18900,2377,0.38
189,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,19000,2377,0.38
190,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,19100,2377,0.38
191,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,19200,2377,0.38
192,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,19300,2377,0.38
193,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,19400,2377,0.38
194,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,19500,2377,0.38
195,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,19600,2377,0.38
196,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,19700,2377,0.38
197,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,19800,2377,0.38
198,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,19900,2377,0.38
199,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,20000,2377,0.38
200,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,20100,2377,0.38
201,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,20200,2377,0.38
202,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,20300,2377,0.38
203,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,20400,2377,0.38
204,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,20500,2377,0.38
205,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,20600,2377,0.38
206,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,20700,2377,0.38
207,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,20800,2377,0.38
208,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,20900,2377,0.38
209,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,21000,2377,0.38
210,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,21100,2377,0.38
211,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,21200,2377,0.38
212,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,21300,2377,0.38
213,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,21400,2377,0.38
214,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,21500,2377,0.38
215,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,21600,2377,0.38
216,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,21700,2377,0.38
217,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,21800,2377,0.38
218,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,21900,2377,0.38
219,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,22000,2377,0.38
220,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,22100,2377,0.38
221,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,22200,2377,0.38
222,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,22300,2377,0.38
223,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,22400,2377,0.38
224,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,22500,2377,0.38
225,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,22600,2377,0.38
226,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,22700,2377,0.38
227,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,22800,2377,0.38
228,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,22900,2377,0.38
229,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,23000,2377,0.38
230,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,23100,2377,0.38
231,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,23200,2377,0.38
232,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,23300,2377,0.38
233,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,23400,2377,0.38
234,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,23500,2377,0.38
235,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,23600,2377,0.38
236,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,23700,2377,0.38
237,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,23800,2377,0.38
238,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,23900,2377,0.38
239,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,24000,2377,0.38
240,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,24100,2377,0.38
241,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,24200,2377,0.38
242,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,24300,2377,0.38
243,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,24400,2377,0.38
244,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,24500,2377,0.38
245,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,24600,2377,0.38
246,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,24700,2377,0.38
247,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,24800,2377,0.38
248,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,24900,2377,0.38
249,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,25000,2377,0.38
250,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,25100,2377,0.38
251,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,25200,2377,0.38
252,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,25300,2377,0.38
253,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,25400,2377,0.38
254,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,25500,2377,0.38
255,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,25600,2377,0.38
256,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,25700,2377,0.38
257,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,25800,2377,0.38
258,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,25900,2377,0.38
259,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,26000,2377,0.38
260,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,26100,2377,0.38
261,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,26200,2377,0.38
262,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,26300,2377,0.38
263,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,26400,2377,0.38
264,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,26500,2377,0.38
265,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,26600,2377,0.38
266,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,26700,2377,0.38
267,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,26800,2377,0.38
268,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,26900,2377,0.38
269,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,27000,2377,0.38
270,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,27100,2377,0.38
271,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,27200,2377,0.38
272,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,27300,2377,0.38
273,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,27400,2377,0.38
274,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,27500,2377,0.38
275,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,27600,2377,0.38
276,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,27700,2377,0.38
277,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,27800,2377,0.38
278,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,27900,2377,0.38
279,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,28000,2377,0.38
280,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,28100,2377,0.38
281,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,28200,2377,0.38
282,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,28300,2377,0.38
283,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,28400,2377,0.38
284,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,28500,2377,0.38
285,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,28600,2377,0.38
286,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,28700,2377,0.38
287,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,28800,2377,0.38
288,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,28900,2377,0.38
289,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,29000,2377,0.38
290,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,29100,2377,0.38
291,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,29200,2377,0.38
292,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,29300,2377,0.38
293,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,29400,2377,0.38
294,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,29500,2377,0.38
295,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,29600,2377,0.38
296,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,29700,2377,0.38
297,0.0022935867,307.1233,153.7698,100,0.1,55.0,3,29800,2377,0.38
