iteracion,media,std,mediana,q25,q75,minimo,maximo,count
0,2.531339,1.147100,2.059110,1.862973,2.819207,1.500667,4.795236,7
1,2.423485,1.246853,2.059110,1.660314,2.819207,1.151005,4.795236,7
2,1.822109,1.007117,1.728882,1.279718,2.462343,0.263394,3.278368,7
3,1.090439,0.417154,1.075105,1.053040,1.335531,0.263394,1.517433,7
4,1.090439,0.417154,1.075105,1.053040,1.335531,0.263394,1.517433,7
5,0.968259,0.531870,1.058769,0.655352,1.335531,0.219843,1.517433,7
6,0.804705,0.626892,1.047310,0.241619,1.279718,0.025520,1.517433,7
7,0.775313,0.591774,1.047310,0.241619,1.185229,0.025520,1.500667,7
8,0.565926,0.550193,0.263394,0.127399,1.052825,0.025520,1.312118,7
9,0.501076,0.526476,0.219843,0.089520,0.885505,0.025520,1.312118,7
10,0.376169,0.444160,0.219843,0.089520,0.501118,0.025520,1.206546,7
11,0.370170,0.431167,0.219843,0.089520,0.501118,0.025520,1.164549,7
12,0.370170,0.431167,0.219843,0.089520,0.501118,0.025520,1.164549,7
13,0.245389,0.252209,0.219843,0.089520,0.261364,0.025520,0.770594,7
14,0.137421,0.113564,0.144083,0.030238,0.225743,0.014819,0.291086,7
15,0.114969,0.105294,0.107437,0.030238,0.165483,0.014819,0.291086,7
16,0.114969,0.105294,0.107437,0.030238,0.165483,0.014819,0.291086,7
17,0.114969,0.105294,0.107437,0.030238,0.165483,0.014819,0.291086,7
18,0.114969,0.105294,0.107437,0.030238,0.165483,0.014819,0.291086,7
19,0.114969,0.105294,0.107437,0.030238,0.165483,0.014819,0.291086,7
20,0.114969,0.105294,0.107437,0.030238,0.165483,0.014819,0.291086,7
21,0.114969,0.105294,0.107437,0.030238,0.165483,0.014819,0.291086,7
22,0.114969,0.105294,0.107437,0.030238,0.165483,0.014819,0.291086,7
23,0.114969,0.105294,0.107437,0.030238,0.165483,0.014819,0.291086,7
24,0.104820,0.109481,0.036395,0.030238,0.165483,0.014819,0.291086,7
25,0.100100,0.113559,0.034956,0.020170,0.165483,0.003354,0.291086,7
26,0.100100,0.113559,0.034956,0.020170,0.165483,0.003354,0.291086,7
27,0.094758,0.113833,0.034956,0.020170,0.146786,0.003354,0.291086,7
28,0.094758,0.113833,0.034956,0.020170,0.146786,0.003354,0.291086,7
29,0.094758,0.113833,0.034956,0.020170,0.146786,0.003354,0.291086,7
30,0.094758,0.113833,0.034956,0.020170,0.146786,0.003354,0.291086,7
31,0.094758,0.113833,0.034956,0.020170,0.146786,0.003354,0.291086,7
32,0.077779,0.100102,0.034956,0.020170,0.087360,0.003354,0.291086,7
33,0.077779,0.100102,0.034956,0.020170,0.087360,0.003354,0.291086,7
34,0.077779,0.100102,0.034956,0.020170,0.087360,0.003354,0.291086,7
35,0.077779,0.100102,0.034956,0.020170,0.087360,0.003354,0.291086,7
36,0.077779,0.100102,0.034956,0.020170,0.087360,0.003354,0.291086,7
37,0.064422,0.073978,0.034956,0.014437,0.087360,0.001773,0.210629,7
38,0.064422,0.073978,0.034956,0.014437,0.087360,0.001773,0.210629,7
39,0.064422,0.073978,0.034956,0.014437,0.087360,0.001773,0.210629,7
40,0.064422,0.073978,0.034956,0.014437,0.087360,0.001773,0.210629,7
41,0.064422,0.073978,0.034956,0.014437,0.087360,0.001773,0.210629,7
42,0.034470,0.039172,0.025520,0.002563,0.054342,0.000963,0.100992,7
43,0.034470,0.039172,0.025520,0.002563,0.054342,0.000963,0.100992,7
44,0.021616,0.026379,0.011016,0.002563,0.030238,0.000963,0.073729,7
45,0.021616,0.026379,0.011016,0.002563,0.030238,0.000963,0.073729,7
46,0.021616,0.026379,0.011016,0.002563,0.030238,0.000963,0.073729,7
47,0.021616,0.026379,0.011016,0.002563,0.030238,0.000963,0.073729,7
48,0.021616,0.026379,0.011016,0.002563,0.030238,0.000963,0.073729,7
49,0.021616,0.026379,0.011016,0.002563,0.030238,0.000963,0.073729,7
50,0.021616,0.026379,0.011016,0.002563,0.030238,0.000963,0.073729,7
51,0.020164,0.027322,0.003354,0.001368,0.030238,0.000854,0.073729,7
52,0.020164,0.027322,0.003354,0.001368,0.030238,0.000854,0.073729,7
53,0.020164,0.027322,0.003354,0.001368,0.030238,0.000854,0.073729,7
54,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
55,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
56,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
57,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
58,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
59,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
60,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
61,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
62,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
63,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
64,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
65,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
66,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
67,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
68,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
69,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
70,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
71,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
72,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
73,0.017725,0.021985,0.003354,0.001368,0.030238,0.000854,0.056657,7
74,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
75,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
76,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
77,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
78,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
79,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
80,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
81,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
82,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
83,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
84,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
85,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
86,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
87,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
88,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
89,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
90,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
91,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
92,0.015136,0.021981,0.003354,0.001368,0.021176,0.000854,0.056657,7
93,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
94,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
95,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
96,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
97,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
98,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
99,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
100,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
101,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
102,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
103,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
104,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
105,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
106,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
107,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
108,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
109,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
110,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
111,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
112,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
113,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
114,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
115,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
116,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
117,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
118,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
119,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
120,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
121,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
122,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
123,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
124,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
125,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
126,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
127,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
128,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
129,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
130,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
131,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
132,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
133,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
134,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
135,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
136,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
137,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
138,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
139,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
140,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
141,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
142,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
143,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
144,0.015013,0.022070,0.003354,0.000939,0.021176,0.000854,0.056657,7
145,0.014260,0.022460,0.002120,0.000939,0.019155,0.000854,0.056657,7
146,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
147,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
148,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
149,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
150,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
151,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
152,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
153,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
154,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
155,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
156,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
157,0.012338,0.020917,0.002120,0.000939,0.012428,0.000854,0.056657,7
158,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
159,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
160,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
161,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
162,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
163,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
164,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
165,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
166,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
167,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
168,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
169,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
170,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
171,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
172,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
173,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
174,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
175,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
176,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
177,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
178,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
179,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
180,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
181,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
182,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
183,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
184,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
185,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
186,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
187,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
188,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
189,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
190,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
191,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
192,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
193,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
194,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
195,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
196,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
197,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
198,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
199,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
200,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
201,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
202,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
203,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
204,0.008553,0.012100,0.002120,0.000939,0.012428,0.000854,0.030167,7
